index,title,language
46,Primary Schools Teachers Trained On Continuous Professional Development (Cpd).  - In Service Training,Language.ENGLISH
47,"# Children (Boys And Girls) Registered And Receiving Case Management Services According To The Vulnerability Criteria (Disaggregated By Age,Gender And Protection Concerns)",Language.ENGLISH
48,Children And Adolescents’ Psychosocial Well-Being Improved Through Focused And Non-Focused Pss Activities In Cfs Delivered By Cfs Animators And Community Volunteers,Language.ENGLISH
49,Number And Percentage Of Unicef-Targeted Families In Humanitarian Situations Who Received Two Insecticide-Treated Nets In Malaria-Endemic Areas,Language.ENGLISH
50,"Out Of School Children Or Youth Who Gain Access To Ecd, Primary, Alp Or Secondary School (Or The Non-Formal Equivalents Of Primary Or Secondary School)",Language.ENGLISH
51,Primary Schools And Ecd Teachers Trained On Providing In-School Psychosocial Support And Services To Conflict Affected Children,Language.ENGLISH
52,"Children Who Received Essential Teaching And Learning Materials, Including Textbooks And Other Supplementary Reading Materials In Mother Tongue And English",Language.ENGLISH
53,# Of Pta/Smc Members Trained On School Management And Development And Implementation Of School Development Plans,Language.ENGLISH
54,Out Of School Adolescents And Youth In Idp Locations And Host Communities And Provided With Life-Skills Through Various Activities And Relevant Livelihood Training,Language.ENGLISH
55,"% Of Children Whose Psychosocial Wellbeing Is Improved Through Focused And Non-Focused Pss Activities (Disaggregated By Age, Sex And Location)",Language.ENGLISH
56,"Number Of Children Registered And Receiving Case Management Services According To The Vulnerability Criteria (Disaggregated By Age, Sex And Protection Concerns)",Language.ENGLISH
57,"Number Of Case Workers Trained On Case Management (Ia Cm Sops, Coaching And Supervision And Isp) (Disaggregated By Sex)",Language.ENGLISH
58,"Number Of Uasc Re-Unified With Their Primary Caregiver Or Preferred Guardian (Disaggregated By Age, Sex And Separation Status).",Language.ENGLISH
59,"# Of Children Receiving Focused And Non-Focused Pss Activities (Disaggregated By Age, Sex And Location)",Language.ENGLISH
60,Number Of Children Reached With Awareness Raising Sessions On Child Protection And Pss (Disaggregated By Age And Sex).,Language.ENGLISH
61,Number Of Adults Reached With Awareness Raising Sessions On Child Protection And Pss (Disaggregated By Sex).,Language.ENGLISH
62,Number Of Teachers Trained On Pss (Disaggregated By Sex).,Language.ENGLISH
63,"# Of Women And Men Frontline Workers Trained On Cp, Pfa And Pss Approaches, Methods And Tools; And Provided With Coaching And Mentoring During The Program Period",Language.ENGLISH
64,Number Of Selected And Screened Foster Carers Trained On Relevant Cpie Topics,Language.ENGLISH
65,Number Of Children And Adolescents’ Psychosocial Well-Being Improved Through Focused And Non-Focused Pss Activities In Cfs,Language.ENGLISH
66,Number Of Caregivers/Foster Families Attending Pss/Positive Parenting Sessions,Language.ENGLISH
67,Number Of Pss Facilitators/Animators Equipped With Knowledge And Skills To Provide Focused And Non-Focused Pss Activities,Language.ENGLISH
68,Number Of Committee Members Trained On Handling Of Complaints And Feedback,Language.ENGLISH
69,Number Of Community Members Reached Through Awareness Raising Sessions Of Prevention Of Sexual Exploitation And Abuse(Psea),Language.ENGLISH
70,Number Of Individuals Reached With Awareness Raising Sessions On Child Protection And Pss Carried Out In Communities,Language.ENGLISH
71,Training Report Photos Attendance List Monthly Reports,Language.ENGLISH
72,Number Of Teachers Trained On Pss,Language.ENGLISH
73,Number Of Children (Boys And Girls) Reached With Mre Key Messages In All The Schools Where Unidor Is Present (8 Schools; 4 In Leer And 4 In Mayendit),Language.ENGLISH
74,Number Of Teachers Trained On Mre Key Messages In All The Schools Where Unidor Is Present (8 Schools; 4 In Leer And 4 In Mayendit),Language.ENGLISH
75,Number Of Children (Boys And Girls) Reached With Mre Key Messages In The Communities,Language.ENGLISH
76,Number Of Men And Women Reached With Mre Key Messages In The Communities,Language.ENGLISH
77,Number Of Informally Released Children Receiving Comprehensive Case Management,Language.ENGLISH
78,"# Of Chidlren (B,G) Registered And Receiving Case Management Services, Including Ftr, According To The Vulnerability Criteria ( Disaggregazione By Gender)",Language.ENGLISH
79,# Of Children And Adolescents Psychosocial Well-Being Improved Through Focused And Non-Focused Pss And Life Skills Activities,Language.ENGLISH
80,# Staff Members Trained On Pfa Pss Other Cp Topics,Language.ENGLISH
81,"# Girls, Boys, Women And Men Reached With Community Awareness Messages On Child Protection (Including Pss, Uasc/Ftr, Caafag)",Language.ENGLISH
82,# Number Of Families Provided With Child Protection Support By Trained Community Structures (Low Risk Cases),Language.ENGLISH
83,"# Save The Children And Ftr Partner Staff Members Supported With Training, Supervision And Couching On Ftr, Case Management, Sops, Revised Minimum Standards, Cpims+ And Information Management Including Field-Based",Language.ENGLISH
84,"# Of Missing, Separated And Unaccompanied Children Registered And Supported Through Ftr And Comprehensive Case Management Services, Including Cases Supported Through The Upgraded Cpims+ System",Language.ENGLISH
85,# Partners Using Guidelines And Tools Developed On Alternative Care,Language.ENGLISH
86,# Of Children Whose Psychosocial Well-Being Is Improved Through Focused And Non-Focused Pss Activities In Cfs,Language.ENGLISH
87,# Of Children Reached With Awareness Raising Sessions On Child Protection And Pss,Language.ENGLISH
88,# Of Adults Reached With Awareness Raising Sessions On Child Protection And Pss,Language.ENGLISH
89,# Of Caregivers/Foster Families Attending Pss/Positive Parenting Sessions,Language.ENGLISH
90,"# Of Members Of Community-Based Child Protection Committees/Networks (Cbcpc/N) Trained To Support Prevention And Protection Of Children From Violence, Abuse, Exploitation And Neglect In Schools And Communities",Language.ENGLISH
91,# Of Adolescents Girls And Boys Benefiting From Life Skills Peer Education And Resilience Programming Trained,Language.ENGLISH
92,# Of Children Boys And Girls Reached With Mre Key Messages In Schools,Language.ENGLISH
93,# Of Children Reached With Mre Key Messages In Cfss/Cbpss Sessions,Language.ENGLISH
94,# Of Men And Women Reached With Mre Key Messages In Community,Language.ENGLISH
95,# Of Teachers Trained On Mre Key Messages In Schools,Language.ENGLISH
96,# Of Individuals Reached With Messages On Gbv Prevention And Response Including Referral Pathway,Language.ENGLISH
97,# Of Community Discussion Groups And Members (Cdg) Participated To Promote Positive Social Norms And Engaged In Community Dialogue Activities In The Community,Language.ENGLISH
98,# Of Households With At-Risk Children Provided With Nfi Kits.,Language.ENGLISH
99,"# Of Boys And Girls With Protection Needs Supported With Case Management Services, Incuding Family Tracing And Reunification",Language.ENGLISH
100,Number Of Girls And Boys Participating In Structured Cfs Based Psychosocial Support Activities.,Language.ENGLISH
101,Number Of Caregivers Reached Or Provided With Psychosocial Services Through “Facilitator’S Manual). (Data Disaggregated By Sex),Language.ENGLISH
102,Number Of Teachers/Parents Teachers Association (Ptas) Members Provided With Psychosocial Pss/Cp/Pfa Training,Language.ENGLISH
103,# Of Child/Adolescent Friendly Spaces (Cfs) Functional And Maintained,Language.ENGLISH
104,"Number Of Missing, Separated And Unaccompanied Children Documented In Standard Case Management Forms, Offline Data Management Spreadsheet, And Online System",Language.ENGLISH
105,"Number Of Vulnerable Children Identified And Supported Through Case Management Services, (Numbers Disaggregated By Sex, Type Of Cp Concern And Service Provided)",Language.ENGLISH
106,"Number Of Foster Care Families, Identified, Screened And Trained Prior To Placement Of Uasc",Language.ENGLISH
107,Number Of Children In Reached With Mre Key Messages In Schools,Language.ENGLISH
108,Number Of Children Reached With Mre Key Messages In Communities And Idp Camps,Language.ENGLISH
109,Number Of Teachers Reached With Key Mre Messages In Schools,Language.ENGLISH
110,Number Of   Men & Women Reached With Mre Key Messages In Communities,Language.ENGLISH
111,# Of Children Reached Through Focused And Non-Focused Pss Activities,Language.ENGLISH
112,# Of Adolescents Who Participate In Activities Using The Adolescents’ Kit,Language.ENGLISH
113,# Of Cp Help Desks Established In Youth Centres To Provide Information On Child Protection And Assist With Referrals Where There Are Possible Child Protection Concerns Or Risks,Language.ENGLISH
114,# Of Adolescents Trained On Peer Support And Becoming Community Agents For Change,Language.ENGLISH
115,"# Of Children Referred To Or Receiving Specialized Or Individualized Services  (Disaggregated By Age, Sex And Caafag Status).",Language.ENGLISH
116,"# Of Children Receiving Case Management Services (Disaggregated By Age, Sex And Caafag Status).",Language.ENGLISH
117,"# Of Children Reached With Livelihoods And/Or Economic Reintegration Services To Support Reintegration And/Or To Reduce The Risk Of Recruitment. (Disaggregated By Age, Sex, Caafag Status And Type Of Economic Activities: Vocational Training, Apprenticeship, Or Specific Economic Strengthening Activity)",Language.ENGLISH
118,"# Of Beneficiaries Who Participated In Community Engagement And Dialogue To Promote Peace, Address Barriers To Reintegration, And/Or Challenge Harmful Social And Cultural Norms, Pressures And Behaviors That Contribute To The Recruitment And Use Of Children.",Language.ENGLISH
119,"# Of  Mre Teams Within Unicef Funded Partners Trained And Accredited And Ready For Deployment To The Targeted Locations. (Sli-Ss Teams, Cco, Cina,Chiddo, Hco, Ipcs, Guno & Women Vison).",Language.ENGLISH
120,Number Of Children (Boys And Girls) Reached With Mre  Key Messages In Schools.,Language.ENGLISH
121,Number Of Children (Boys And Girls) Reached With Mre Messages In The Community,Language.ENGLISH
122,Number Of Teachers Trained/Oriented On Mre Key Messages In Schools,Language.ENGLISH
123,% Of Uasc Children Who Received Follow Up Visits Per Week Per County,Language.ENGLISH
124,"%Ofgbv  Child  Survivors Identified And Supported Through Pss, Case Management And Referral For Specific Services Using Referral Pathway And Supported Through Follow-Up Visits, Nfis  (Data Disaggregated By Sex, Age, Type Of Gbv, Information)",Language.ENGLISH
125,% Of Uasc Reunified With Their Primary Caregivers Or Preferred Guardians,Language.ENGLISH
126,% Of Cases (Uasc And Non- Uasc) That Receive Weekly Follow Up Visit In Each Location,Language.ENGLISH
127,"Number Of Schools That Have Access To Improved, Gender-Segregated Sanitation Facilities",Language.ENGLISH
128,Number Of People Who Gained Access To Basic Sanitation Services,Language.ENGLISH
129,# Of At-Risk Adolescents Equipped With Knowledge And Life Skills That Increase Their Employability,Language.ENGLISH
130,Unicef Targeted Children 6-59 Months In Humanitarian Situation Vaccinated Against Measles,Language.ENGLISH
131,Number Of Unicef-Targeted Children 6-59 Months In Humanitarian Situations Who Are Vaccinated Against Measles.,Language.ENGLISH
132,Number Of Out Of School Children Accessing Formal Or Non-Formal Education With Direct Support From Unicef,Language.ENGLISH
133,Number Of Children Aged 6-59 Months Screened For Acute Malnutrition (Hpm: N4-1),Language.ENGLISH
134,"# Of Children 6-59 Months Affected By Severe Acute Malnutrition Admitted To Treatment (Hpm: N4-2,)",Language.ENGLISH
135,Number Of Children 6-59 Months Affected By Severe Acute Malnutrition Admitted To Treatment (Hpm: N4-2),Language.ENGLISH
136,Number Of Primary School Teachers With Enhanced Knowledge To Provide Quality Learning With Support From Unicef,Language.ENGLISH
137,Number Of Children Aged 6-59 Months Screened For Acute Malnutrition (Hpm: N4-1)),Language.ENGLISH
138,Number Of At-Risk Adolecents Equipped With The Knowledge  And Life Skils That Reduce Their Vulberablility And Protect Them From Violence.,Language.ENGLISH
139,No Of Teachers And Volunteers Trained On Eie And Psycho-Social Support.,Language.ENGLISH
140,Number Of People Accessing A Basic Sustainable Drinking Water Source,Language.ENGLISH
141,"No Of Teachers And Volunteers Trained On Teaching Methodologies, Session Planning, Classroom Management, Life Skills And Assessment Methodologies",Language.ENGLISH
142,# Of Community Volunteers And Community Health Workers  Trained On Community C-Imci,Language.ENGLISH
143,"No Of Pta And Mothers Trained On Eie And Psychosocial Support (Female 40, Male 72)",Language.ENGLISH
144,# Of Caregivers (Mothers And Fathers) Receiving Infant And Young Child Feeding (Iycf) Counselling Through Mother Support Group,Language.ENGLISH
145,Number Of People Sensitized By Social Mobilization On Iycf Sessions,Language.ENGLISH
146,"No Of Teachers And Volunteers Trained On Eie And Psychosocial Support. (40% Female 48, Male 72)",Language.ENGLISH
147,"No Of Teachers And Volunteers Trained On Teaching Methodologies, Session Planning, Classroom Management, Life Skills And Assessment Methodologies. (Female 48, Male 72)",Language.ENGLISH
148,"No Of Pta And Mothers Trained On Eie And Psychosocial Support. (Female 40, Male 60)",Language.ENGLISH
149,No Of Children Who Have Received Education In Emergencies Supplies And Recreational Material (Boys And Girls 50% Each),Language.ENGLISH
150,"# And % Of In-School Adolescent Girls And Boys With Improved Knowledge On Key Rights, Responsibilities, Vacis, Gender, Sexuality Education, Mhm Including Making Re-Usable Pads And Key Life Skills..",Language.ENGLISH
151,# Of In School Adolescents Referred For   Adolescent Services By Trained Teachers.,Language.ENGLISH
152,"# Of Out Of School Adolescents Engaged By  Junior Journalists (Jjs) With Support From Community Development Officers On Key Family Care Practices, Vacis, Sexual Reproductive Health And Safety",Language.ENGLISH
153,"# And % Of Trained Teachers (Senior Women And Senior Male Teachers, Club Champions) Demonstrating Application Of Acquired Skills On Gender Responsive Pedagogy, Positive Discipline, Sexuality Education,  Mhm Including Making Re-Sable Pads",Language.ENGLISH
154,"Of People In Humanitarian Situations Accessing Sufficient Quantity Of Water  Of Appropriate Quality For Drinking, Cooking And Personal Hygiene (Including Refugees And Hosts In Refugee Hosting Districts) (Unicef Hpm Indicator)",Language.ENGLISH
155,Of Unicef-Targeted Children And Youth In Humanitarian Situations Provided With Life Skills Training (Unicef Standard Indicator),Language.ENGLISH
156,Of Adolescents With Improved Literacy And Numeracy Skills,Language.ENGLISH
157,Of Adolescent Girls And Boys Who Participate In Civic Engagement Initiatives On Vac (Unicef Standard Indicator),Language.ENGLISH
158,Of Targeted Duty Bearers’ Who Demonstrate Change In Knowledge And Awareness On Issues Affecting Adolescents Including Parenting Skills (Ip Customised),Language.ENGLISH
159,Out Of School Adolescent Girls And Boys In The Reporting Year Accessing Formal Or Non-Formal Education With Support Of The Unicef  (Unicef Standard Indicator),Language.ENGLISH
160,Of Ecd Caregivers Trained According To National Standards (Unicef Rwp),Language.ENGLISH
161,"Children Enrolled In Pre-Primary Education By Sex, Disability And Refugee Status In Ecd Centers",Language.ENGLISH
162,Of Trained Parents That Practice At Least 6 Of The 22 Kfcp,Language.ENGLISH
163,Of Adolescents’ Care Givers And Leaders Who Actively Participate In C4D Activities (Unicef Rwp 2019/2020 C4D Indicator),Language.ENGLISH
164,Of School Adolescent Girls And Boys In The Reporting Year Accessing Formal Or Non-Formal Education With Support Of Unicef (Unicef Rwp 2019/20),Language.ENGLISH
165,"Of Adolescents, Care Givers And Leaders In Program Activities Who Promote Positive Practices (Unicef Rwp 2019/2020 C4D Indicator)",Language.ENGLISH
166,"Of Adolescents, Care Givers And Leaders Participating In C4D Activities With Increased Knowledge On Key Rights And Information (Unicef Rwp 2019/2020 C4D Indicator)",Language.ENGLISH
167,"Of Health And Education Workers Vhts, Parasocial Workers, Child Protection Officers, Cdos And Corps (Disaggregated By Sex)    Whose Capacity Is Strengthened To Identify, Screen And Refer Children With Disabilities (Ip Custom)",Language.ENGLISH
168,"Of Children, Adolescents, Caregivers And Leaders Who Actively Participate In C4D Activities",Language.ENGLISH
169,"Of Children, Adolescents, Caregivers And Leaders (Disaggregated By Sex) Participating In C4D Activities With Increased Knowledge Of Key Rights And Information",Language.ENGLISH
170,"Of Children, Adolescents, Caregivers And Leaders (Disaggregated By Sex) Participating In Programme Activities Who Promote Positive Practices About Eliminating Stigma And Discrimination Of Children With Disabilities",Language.ENGLISH
171,Of Young Children Assessed Using Screening And Evaluative Tools,Language.ENGLISH
172,Number Of Young Children With Disabilities Provided With Early Interventions,Language.ENGLISH
173,Of Family Members And Caregivers Supported.,Language.ENGLISH
174,"Of Children Enrolled In Pre-Primary Education By Sex, Disability And Refugee Status In Ecd Centers In The 2 Districts",Language.ENGLISH
175,Of People Reached With Key Health/ Educational Messages (Including Refugees And Host Population In Refugee Hosting Districts As Well As High Risk Districts For Disease Outbreaks And Climate Shocks),Language.ENGLISH
176,Of Targeted Parishes With Fully Functional Iecd Coordination Mechanisms,Language.ENGLISH
177,"Of Children Receiving Individual Case Management Services, Support Or Monitoring",Language.ENGLISH
178,"Of Children Enrolled In Pre-Primary Education By Sex, Disability And Refugee Status In Ecd Centers",Language.ENGLISH
179,Of Children In Humanitarian Situations Registered As Unaccompanied Or Separated Who Received Appropriate Alternative Care Services,Language.ENGLISH
180,Of Children Who Experience Or At Risk Of Experiencing Sexual Violence And Received At Least One Kind Of Multi-Sectoral Support Services In Humanitarian Situation,Language.ENGLISH
181,Of Children In Humanitarian Situations Registered As Unaccompanied Or Separated Who Were Reunified With Families/ Caregiver,Language.ENGLISH
182,Of Children In Humanitarian Situations Benefitting From Psychosocial Support,Language.ENGLISH
183,Of Girls And Boys Registered To Participate In Recreational And Psychosocial Support,Language.ENGLISH
184,"Of Individuals (Disaggregated By Sex And Age) In Programme Areas, Including In Emergency Affected Areas, Who Regularly Participate In Interventions Promoting Gender Equitable Norms To Prevent Vac",Language.ENGLISH
185,"Of Children, Adolescents, Caregivers And Leaders Participating In C4D Activities With Increased Knowledge Of Key Rights And Information",Language.ENGLISH
186,"Of Children, Adolescents, Caregivers And Leaders Participating  In Program Activities Who Know Where/How To Access Relevant Cp Services",Language.ENGLISH
187,"Of Children, Adolescents, Caregivers And Leaders Participating In Program Activities Who Promote Positive Practices",Language.ENGLISH
188,"Of Children (F/M) Children, Boys And Girls Registered To Participate In Recreational And Psychosocial Support",Language.ENGLISH
189,Of Children Aged 6-59 Months Affected By Sam Who Are Admitted Into Treatment (Whether Supported By Unicef) In Unicef-Supported Districts Disaggregated By Age,Language.ENGLISH
190,"Of Children  Who Have Participated In Skills Development Programmes For Learning, Personal Empowerment, Active Citizenship And/Or Employability Through Unicef-Supported Programmes",Language.ENGLISH
191,Of School Children In The Reporting Year Accessing Formal Or Non-Formal Education With Support Of Unicef (Unicef Bead Rwp 2019/20),Language.ENGLISH
192,Of Adolescents Who Actively Participate In C4D Activities,Language.ENGLISH
193,Of Adolescents Participating In C4D Activities With Increased Knowledge On Key Rights And Information,Language.ENGLISH
194,Of Adolescents Participating In Program Activities Who Know How And Where To Access Relevant Services,Language.ENGLISH
195,"Of Adolescents, Care Givers And Leaders In Programm Activities Who Promote Positive Practises.",Language.ENGLISH
196,Of Caregivers And Leaders Participating In C4D Activities With Increased Knowledge Of Key Rights And Information,Language.ENGLISH
197,Of Caregivers And Leaders Participating In Program Activities Who Know Where/How To Access Relevant Services,Language.ENGLISH
198,Of Caregivers And Leaders Participating In Program Activities Who Promote Positive Practices,Language.ENGLISH
199,Of Adolescents 15-19 Who Were Tested For Hiv And Received Their Results In The Past 12 Months,Language.ENGLISH
200,Of Hiv Positive Children 0-14Yrs In Humanitarian Settings Who Continue To Receive Art – Refugees,Language.ENGLISH
201,"Of 15,484 (M. 8548, F. 6936 ) Children, Adolescents, Caregivers And Leaders From School Structures (880 160 Females, 720 Males Smcs, School Clubs, Ptas), Participating In Programme Activities Who Know Where/How To Access Relevant Services",Language.ENGLISH
202,"Of 15,484 (M. 8548, F. 6936) Children, Adolescents, Caregivers And Leaders From School Structures 880 (160 Females, 720 Males) Smcs, 80 School Clubs, Ptas), Participating In Programme Activities Who Promote Positive Practices",Language.ENGLISH
203,Of The Target Teachers Which Are Trained Are Practicing Early Grade Child Centred Pedagogy/ Methodology.,Language.ENGLISH
204,Of Children Aged 6-59 Months Affected By Sam Who Are Admitted Into Treatment (Whether Or Not Supported By Unicef) In Unicef-Supported Districts,Language.ENGLISH
205,Of Children Aged 6-59 Months Who Received: Vitamin A Supplements In Semester 1,Language.ENGLISH
206,Of Children Aged 6-59 Months Who Received Vitamin A %Supplements In Semester 2 In Unicef-Supported Districts,Language.ENGLISH
207,"Number Of People, Including Children Reacted With Hygiene Promotion Activities (Disaggregated Men, Women, Children Including School Children)",Language.ENGLISH
208,•	Number Of Additional People Receiving Safe Water Supplies,Language.ENGLISH
209,Number Of Vpms Trained,Language.ENGLISH
210,"Number Of People Disaggregated By Gender, Who Received Integrated Breastfeeding And Hygiene Education And Information Pertaining To Safe And Hygienic Behaviour",Language.ENGLISH
211,•	Number Of Vpms Trained And Equipped,Language.ENGLISH
212,Number Of Apron Builders Trained,Language.ENGLISH
213,Number Of Latrine Builders Trained,Language.ENGLISH
214,•	Number Of Latrine Builders Trained,Language.ENGLISH
215,"•	Number Of People, Including Children Reached With Hygiene Promotion Activities (Disaggregate Men, Women, Children-Including School Children)",Language.ENGLISH
216,•	Number Of Ehts Trained On Water Quality Monitoring,Language.ENGLISH
217,"Number Of People Disaggregated By Gender, Who Received Hygiene Education And Information Pertaining To Safe And Hygienic Behavior",Language.ENGLISH
218,"Number Of People, Disaggregated By Gender, Provided Access To At Least 3.5-5 Litres Of Clean Water Per Day For Drinking Purposes.",Language.ENGLISH
219,2.4	Percentage Of Non-Statutory Cases Resolved Within Time Frames In Accordance With National Standards And Guidelines,Language.ENGLISH
220,"•	Number Of Additional People Using Improved Protected Water Supplies In Targeted Rural Districts, Disaggregated By Input (I.E. Using A Repaired Or Rehabilitated Borehole)",Language.ENGLISH
221,"Number Of People, Disaggregated By Gender, Provided Access To At Least 3.5-5 Litres Of Clean Water Per Day For Drinking Purposes",Language.ENGLISH
222,Proportion Of Vhws Capacitated On Ciycf,Language.ENGLISH
223,Number Of Children In Learning Facilities Provided Access To 1-2 Litres Of Water Per Day For Drinking Purposes.,Language.ENGLISH
224,"Number Of People, Disaggregated By Gender, Provided Access To Adequate Sanitation Facilities (Including A Maximum Of 20 People Per Latrine, Hand  Washing Facility And Soap To Wash Hands)",Language.ENGLISH
225,"1.4	Percentage Increase In Knowledge In Srh Issues Among Children, Adolescents And Young People Living With Hiv By The Cats",Language.ENGLISH
226,•	Number Of Sags Trained,Language.ENGLISH
227,"Number Of Health Service Providers (At Least 30% Male) Oriented In Tb, Hiv And Nutrition Integration.",Language.ENGLISH
228,Percentage Of People Who Received Health And Hygiene Information During The Response Able To Recite Key Messages Pertaining To Typhoid Prevention And Control Measures.,Language.ENGLISH
229,2.2	Percentage Of Child Protection Cases Of Children And Adolescents Living With Hiv Identified By Cats And Other Community Cadres,Language.ENGLISH
230,Percentage Of Medical Cases That Were Reported At Hsct Points Within 72 Hours,Language.ENGLISH
231,•	Number Of Additional People With Functional Hand Washing Facilities And Soap/Ash At Their Toilet In Targeted Rural District.,Language.ENGLISH
232,Number Of Ehts Oriented On Latrine Construction,Language.ENGLISH
233,Number Of Health Facilities With Trained And Mentored Hcws Providing Hiv Testing And Treatment Services For Sam And Mam Cases,Language.ENGLISH
234,Percentage Of Non-Medical Cases That Were Reported At Hsct Points Within 7 Days,Language.ENGLISH
235,"Percentage Of Children, Adolescents And Young People Living With Hiv In The National Case Management System That Are Referred For Essential Services",Language.ENGLISH
236,Number Of Participants That Have Been Oriented On Addressing Social Norms About Gender Roles In Intimate Relationships In 7 Districts,Language.ENGLISH
237,"Evidence Of Change In Children Age 11-17 Years And Caregivers Who Know How/Where To Report Child Protection Violations, By Sex, Age, And Disability Type",Language.ENGLISH
