,title,language
49,EIF 3.5 C : # Nombre d’enseignants qui ont reçu une formation dédiée à la gestion de l’hygiène menstruelle,Language.FRENCH
50,EIF 3.7 : # de communautés ciblées soutenues par le programme qui mènent des activités pour répondre aux risques et aux vulnérabilités liés au climat,Language.FRENCH
51,EIF 4.1: # de communautés ciblées soutenues par le programme pour établir des systèmes de soutien efficaces pour les ménages vulnérables (O),Language.FRENCH
52,EIF 4.2: # de groupes communautaires mobilisés par le programme,Language.FRENCH
53,EIF 4.3 : # de leaders naturels engagés dans des programmes soutenus par le GSF (M),Language.FRENCH
54,Eif 2.1: # De Communautés Ciblées Dans Lesquelles Des Interventions De Changement De Comportement Collectif En Matière D'Assainissement Et D’Hygiène (Telles Que L’Atpc) Sont Mises En Œuvre,Language.FRENCH
55,Eif 3.4: : # De Personnes Atteintes Par Le Programme Avec Des Messages Ou Des Interventions Sur La Gestion De L'Hygiène Menstruelle (Ghm) (O),Language.FRENCH
56,Nombre de personnes (fille/garcon) pouvant citer au moins 2 mesures barrieres a travers les emissions interactives,Language.FRENCH
57,Nombre d'élèves (âgés de 5 à 17 ans) dont l'école est située dans une zone affectée par la MVE ou à risque qui ont bénéficié d'une séance de sensibilisation à l'hygiène (désagrégé par genre),Language.FRENCH
58,% staff du partenaire forme en genre,Language.FRENCH
59,Pourcentage (%) des membres de staff du projet du formés sur la PSEA,Language.FRENCH
60,Pourcentage (%) des membres de staff du projet ayant signé le code de conduite,Language.FRENCH
61,EIF 2.6: Nombre de personnes/ménages/communautés touchés par les campagnes de promotion du lavage des mains au savon « y compris pour la réponse à la COVID »,Language.FRENCH
62,"1.1.	# enfants, adolescentset parents / tuteurs qui bénéficient des activités de soutien psychosocial",Language.FRENCH
63,1.1.1	# enfants et adolescents participants aux activités récréatives et socioéducatives et de sensibilisation dans les espaces amis des enfants.,Language.FRENCH
64,"1.1.2	# enfants, adolescents et parents ayant bénéficié du soutien psychosocial rapproché",Language.FRENCH
65,"2.1 # de femmes, filles et garçons qui accèdent aux interventions de prévention et mitigation des risques de VBG",Language.FRENCH
66,2.2 # enfants et adolescents victimes de violations y compris les VBG qui sont systématiquement documentés dans une base de données confidentielle et référés aux services de réponse,Language.FRENCH
67,2.3 .# enfants séparés ou non accompagnés qui sont référés pour la prise en charge alternative ou le placement familial,Language.FRENCH
68,"2.5. # de personnes vulnérables et à besoins spécifiques ayant été identifiées (filles, garçons, femmes et hommes) et ayant accès à un canal/mécanisme sûr et accessible pour signaler l'exploitation et les abus sexuels",Language.FRENCH
69,2.6. % de membres du personnel/volontaires de SAD ayant suivi une formation sur l'atténuation des risques de VBG et l'orientation des survivants (AGORA),Language.FRENCH
70,3.1. # membres des structures communautaires de protection identifiés et formés pour disséminer les bonnes pratiques parentales,Language.FRENCH
71,3.2. # de personnes vulnérables et à besoins spécifiques ayant été identifiées et référés pour l’accès aux services de base par les structures communautaires,Language.FRENCH
72,"# d'enfants-journalistes formés et capables de parler de leurs droits à travers la presse écrite, audiovisuelle, et les plateformes digitales et mobiles au niveau national",Language.FRENCH
73,"# d’adolescents qui suivent et complètent le programme de compétences de vie, compétences du 21ème siècle incluant les innovations à impact social à travers les plateformes digitales autour de la « marque des adolescents »",Language.FRENCH
74,# d'adolescents utilisant les plateformes digitales pour la soumission et promotion de leurs innovations à impact social,Language.FRENCH
75,# d'écoles bénéficiant de services d'assainissement à la fin de l'année considérée uniquement,Language.FRENCH
76,"# d'hommes, femmes, de filles et de garçons ayant accès, de manière durable, aux services d'eau potable à la fin de l'année considérée uniquement",Language.FRENCH
77,# de communautés certifiées FDAL au cours de l'année considérée comme résultats de l'appui direct de l'UNICEF.,Language.FRENCH
78,#  de personnes ayant reçu kit de protection individuelle pour se protéger du Covid-19,Language.FRENCH
79,# mineurs en garde à vue qui bénéficient d’une assistance sociale et juridique jouir les droits légaux conférés aux mineurs,Language.FRENCH
80,# MCL ayant terminé la formation professionnelle bénéficiant d’un perfectionnement des compétences métier,Language.FRENCH
81,# d’enfants de moins de trois ans dans la prison pour femmes de Ngozi et dans la prison de Ruyigi bénéficiant d’activités adaptées à leur âge,Language.FRENCH
82,# MCL incarcérés et venant de la communauté sont formés pour l’acquisition de compétences professionnelles,Language.FRENCH
83,# MCL réinsérés et suivi dans la communauté après leur libération,Language.FRENCH
84,# des enfants vulnérables pris en charge par une structure communautaire (CPE et/ou GS),Language.FRENCH
85,"# d’enfants vulnérables appuyés dont les besoins dépassent la capacité de réponse des GS et CPE (l’enregistrement à l’état civil, kit de scolarisation, couts liés à des services prioritaires, …)",Language.FRENCH
86,"Nombre de Structures de santé qui disposent de la plateforme Medexis configurée, testée et fonctionnelle pour les intrants de la vaccination",Language.FRENCH
87,Pourcentage (%) des structures sanitaires (BDS et CDS) qui disposent de la gamme complète des intrants nutritionnels et de la vaccination,Language.FRENCH
88,Pourcentage (%) de structures sanitaires (BDS et CDS) avec 0 jour rupture de stock en intrants nutritionnels et de vaccination par mois,Language.FRENCH
89,Pourcentage (%) de structures sanitaires (BDS et CDS) avec Consommation Moyenne Mensuelle (CMM) marquée sur 100% des fiches de stock des intrants nutritionnels,Language.FRENCH
90,# de jeunes filles/femmes ayant eu accès aux kits d'hygiène,Language.FRENCH
91,#adolescents engagés dans des initiatives issus des sondages,Language.FRENCH
92,# d'écoles dont les  latrines sont rehabilitées,Language.FRENCH
93,Nombre de personnes de la commune Nyanza Lac ayant accès à l’eau potable,Language.FRENCH
94,# d'adolescents inscrits sur la plateforme U-report,Language.FRENCH
95,# de points d'eau rehabilites,Language.FRENCH
96,# Nombre des MLs et des ASCs formées sur la surveillance et la promotion de la croissance,Language.FRENCH
97,Nombre d’enfants de 0-23mois surveillés chaque mois,Language.FRENCH
98,Nombre d’enfants suivis après la sortie du FARN,Language.FRENCH
99,"Nombre d’associations villageoises d’épargne et de crédit ciblant les ML, les parents des enfants malnutris et autres vulnérables mise en place et appuyés",Language.FRENCH
100,nombre d’enfants de 24-59 mois surveillés chaque trimestre,Language.FRENCH
101,Nombre des enfants ayant bénéficiés des compléments alimentaires équilibrés,Language.FRENCH
102,Nombre des associations des femmes formées et encadrées sur la production des compléments alimentaires équilibrés,Language.FRENCH
103,"""Nombre d'enfants (F/G) touchés par les actions de communication pour le respect des mesures barrières et la promotion de la continuité éducative et la lutte contre les violences basées sur le genre  promotion de la continuité éducative et la lutte contre les violences basées sur le genre""",Language.FRENCH
104,Nombre d'enfants (F/G) bénéficiiares des cours de remédiation à la rentrée,Language.FRENCH
105,Nombre d'énfants (F/G) bénéficiaires de matériels didactiques et d'apprentissage à la rentrée,Language.FRENCH
106,Nombre d'apprenants bénéficiaires (F/G) de l'enseignement à distance (y inclus distribution de supports papiers),Language.FRENCH
107,Nombre d'enfants (F/G) qui sont retournés à l'école à la réouverture,Language.FRENCH
108,Nombre de parents (H/F) membres de COGEP/COGERES formés sur le protocole ‘Ecole sûre,Language.FRENCH
109,Nombre d’enfants (F/G) bénéficiaires de kits d’hygiène,Language.FRENCH
110,Nombre d'enfants (F/G) bénéficiiares des cours de remédiation,Language.FRENCH
111,Nombre d'enfants (F/G) touchés par les actions de communication pour le respect des mesures barrières et la promotion de la continuité éducative et la lutte contre les violences basées sur le genre  promotion de la continuité éducative et la lutte contre les violences basées sur le genre,Language.FRENCH
112,Nombre total d'enfants de 0-59 mois MAS pris en charge,Language.FRENCH
113,Nombre d’enfants touchés à tarvers  les campagnes d’nformation y compris la lutte contre les violences,Language.FRENCH
114,Nombre d’enfants qui accèdent à une éducation primaire de qualité avec l’appui de l’initiative,Language.FRENCH
115,Nombre de parents atteints par les séances d’information et communication.,Language.FRENCH
116,Nombre de membres de Comités de gestion formés à la gouvernance des écoles,Language.FRENCH
117,Nombre d’enfants hors école inscrits dans le système éducatif (y inclus le système non-formel) avec l’appui de l’initiaitve,Language.FRENCH
118,Psychologues et acteurs communautaires mis à contribution dans 40 communes des 8 provinces choisies pour assurer la prise en charge psychosociale des enfants à risque d’ etre affectes par le COVID ou les VSBG   Baseline,Language.FRENCH
119,"lles et garçons ayant bénéficié des services psychosociaux comprennant l’écoute et orientation, le counseilling individual, le coaching familial et le référencement",Language.FRENCH
120,# d'enfants et d'adultes qui ont accès à un canal sûr et accessible pour signaler l'exploitation et les abus sexuels,Language.FRENCH
121,# enfants et femmes accédant à l'atténuation des risques de violence basée sur le genre et les interventions de prévention,Language.FRENCH
122,# enfants et d'adultes qui ont accès à un canal/mecanisme sûr et accessible pour signaler l'exploitation et les abus sexuels,Language.FRENCH
123,"# Filles et garçons survivants de violations graves (VBG, SEA, traite), d'abus et d'exploitation référés des services de santé, d’accompagnement psychosocial, ou d’assistance juridique ou d’aide légale",Language.FRENCH
124,# Filles et garcons privés de soins parentaux ou familiaux bénéficiant de dispositifs de prise en charge alternatifs appropriés,Language.FRENCH
125,# Filles et garcons bénéficiant d'une réintégration socio-économique et scolaire,Language.FRENCH
126,# filles et garçons survivant(e)s de la traite reintegres dans la communaute et ayant recu les kit de reinsertion,Language.FRENCH
127,# filles a besoin specifiques participants dans les activites d’epargne et credit dans les groupes de solidarité,Language.FRENCH
128,# chefs de ménages en charge d’enfants vulnérables participant dans les groupes de solidarité Nawe Nuze,Language.FRENCH
129,"# filles identifiées sont inscrites à des cours de formation alternative (  metier, CVC)",Language.FRENCH
130,# filles et autres enfants vulnérables qui bénéficient  d’un appui scolaire,Language.FRENCH
131,# enfants privés de soins parentaux ou familiaux bénéficiant de dispositifs de prise en charge alternatifs appropriés,Language.FRENCH
132,# filles et garcons vulnérables qui bénéficient des services sociaux de base adéquats,Language.FRENCH
133,# personnes touchées par les sensibilisations,Language.FRENCH
134,#  membres du personnel/volontaires de UCBUM  ou leaders communautaires ayant suivi une formation sur l'atténuation des risques de VBG et l'orientation des survivants,Language.FRENCH
135,# chefs de ménages en charge des enfants vulnérables/à risque bénéficiant de renforcement socioéconomique à travers leur participation dans les groupes de solidarité,Language.FRENCH
136,# de personnes sensibilisées sur la  traite (y compris les membres des groupes de solidarité),Language.FRENCH
137,% de victimes (enfants et adultes) de la traite référées à l’assistance,Language.FRENCH
138,% de staff ayant compléter la formation sur le réduction des risques de GBViE sur AGORA et ou face a face,Language.FRENCH
139,# filles et garcons et adultes qui ont accès à un canal/mecanisme sûr et accessible pour signaler l'exploitation et les abus sexuels (via la ligne 116),Language.FRENCH
140,# femmes enceintes vulnérables ou mères d'enfants âgés de moins de 5 ans qui participent aux associations villageoises d’épargne et de prêts (AVEP),Language.FRENCH
141,# de ménages tenus par femmes enceintes vulnérables ou mères d’enfants de moins de 5 ans malnutris qui bénéficient des foyers améliorés,Language.FRENCH
142,# de ménages tenus par femmes enceintes vulnérables ou mères d’enfants de moins de 5 ans malnutris disposant d’un jardin potager,Language.FRENCH
143,"# de garçons et filles vulnérables ayant bénéficié de services appropriés (enregistrement à l’état civil, appui psychosocial, assistance juridique, réintégration scolaire, refuge d'urgence) en collaboration avec lesCPE et/ou GS",Language.FRENCH
144,# de menagesvulnerables disposant des kits énergetiques fonctionnels,Language.FRENCH
145,# enfants dont les délits mineurs les impliquant sont résolus par voie de conciliation-réparation initiée par les CPE,Language.FRENCH
146,# d’enfants retirés des situation/travaux dangereux et réinsérés,Language.FRENCH
147,"# de personnels formés sur le paquet intégré ANJE, DPE, FARN/FAN, réduction des risques de GBVIE et prévention du COVID-19",Language.FRENCH
148,# d’enfants de 6 à 59 mois avec MAM admis dans le FARN et bénéficiant du paquet multisectoriel de nutrition et activités récréatives,Language.FRENCH
149,# d’enfants de 6-23 mois recevant les poudres de Micronutriments Multiples,Language.FRENCH
150,"Nombre d’enfants de moins de 5 ans bénéficiant des activités de stimulation psycho cognitive mise en place dans les FAN/FARNs, SST/STA, CPE.",Language.FRENCH
151,Nombre d’enfants de moins de 5 ans enregistrés dans les 14 garderies communautaires,Language.FRENCH
152,"# enfants appuyés et suivis par les GS (visite familiale une fois les deux semaines, appuis scolaires, soins médicaux, appui alimentaire, enregistrement a l’etat civil, hebergement temporaire etc.)",Language.FRENCH
153,# de  victimes de traite identifiées,Language.FRENCH
154,# ménages avec enfants a risque qui sont renforcés sur les bonnes pratiques parentales,Language.FRENCH
155,"1.1.	  #enfants, filles et garçons, ciblés par les activités de protection ayant accès à des interventions d'atténuation des risques, de prévention ou de réponse en matière de VBG.Baseline (F :8 660; G :5 773)        Target  16000 (F :9600; G: 6400) dont 25 vivant avec handicap (15 F;10G)",Language.FRENCH
156,Filles et garcons bénéficiant d'une réintégration socio-économique (120) ou scolaire (365) Baseline : 0                       Target 485 ( 291F : 194G :)  dont 13 vivant avec handicap( 8F ;5G),Language.FRENCH
157,3.2. # personnes touchées par les sensibilisations portant sur les thematiques de protection de l’enfance Base line (F :8653 ; M :5769) Target F :18253 ; M :12169),Language.FRENCH
158,"# Filles et garçons survivants de violations graves (VBG, SEA, traite), d'abus et d'exploitation bénéficient des services sociaux de base adéquats4",Language.FRENCH
159,"# Filles et garçons vulnérables pris en charge/encadrés par les groupes de solidarité.   Cible totale ≥ 40,391 (F : 25,050 ; M : 15, 341)",Language.FRENCH
160,"# enfants qui ont utilisé un canal/mécanisme sûr et accessible pour signaler l'exploitation et les abus sexuels (via la ligne 116)   Cible totale : ≥ 2,02211 (F : 1,331 ; M : 691)",Language.FRENCH
161,# points focaux qui rapportent sur les violations des droits de l’enfant,Language.FRENCH
162,# Filles et garcons vulnérables pris en charge/encadrés par les groupes de solidarité.,Language.FRENCH
163,"1.2.	# enfants (désagrégés par sexe et tranche d'âge) ayant accès au soutien en santé mentale et psychosocial (à travers des espaces amis des enfants renforcés).  Baseline : 5000 (3000F : 2000 G :      Target :10000  (6000F ;4000 G)( cumulatif), dont 40  vivant avec handicap( 24F ;16H).",Language.FRENCH
164,membres du personnel/volontaires de SAD ou leaders communautaires ayant suivi une formation sur l'atténuation des risques de VBG et l'orientation des survivants     Baseline :200 (120F ;80G)                 Target 260 (156F;104G),Language.FRENCH
165,.3 # enfants et d'adultes qui ont accès à un canal/mécanisme sûr et accessible pour signaler l'exploitation et les abus sexuels (via la ligne 116),Language.FRENCH
166,# Filles et garçons privés de soins parentaux ou familiaux bénéficiant de dispositifs de prise en charge alternatifs appropriés (via les FAV/centre d’accueil temporel)   (cible total:≥ 3006 ; F : 252 ; M : 48),Language.FRENCH
167,"% chefs de ménages accompagnés dans l’acquisition des bonnes pratiques parentales Objectif : ≥ 34 % (Numérateur8 : 7,151 ; Dénominateur9 21,031 ménages)",Language.FRENCH
168,# d’acteurs dont les connaissance  sur la communication pour le changement de comportement sont ameliores.,Language.FRENCH
169,#d’animateurs communautaires qui disposent de connaissance en C4D,Language.FRENCH
170,"# d’enfants appuyé par les membres des GS (appui alimentaire, vestimentaire, kit scolaire, enregistrement à l’Etat civil, hébérgement temporaire,etc.",Language.FRENCH
171,# enquêteurs formés,Language.FRENCH
172,% des enfants de 6 à 23 mois des menages ciblés ayant consommés au moins 4 groupes d’aliments,Language.FRENCH
173,Nombre d’enseignantes et enseignants suivis et accompagnés,Language.FRENCH
174,Pourcentage des filles et garçons scolarisés qui ont augmenté leurs connaissances sur la puberté et la GHM à la fin du projet.,Language.FRENCH
175,"1.2 Nombre de formateurs/formatrices formé-es sur la transformation des conflits, les droits des enfants, la masculinité positive et la prévention du mariage d’enfants",Language.FRENCH
176,1.3 Nombre de personne dans les zones du programme qui participent à des sessions de dialogues communautaires,Language.FRENCH
177,"1.4 Nombre de femmes, d'hommes, de filles et de garçons touché-es par les activités de sensibilisation",Language.FRENCH
178,Réunions de coordination organisées par ou avec le CDFC et dont les procès-verbaux sont communiqués entre les membres et avec le niveau central et les recommandations sont effectivement mises en oeuvre.,Language.FRENCH
179,"enfants appuyés et suivis par les GS (visite familiale une fois les deux semaines, appuis scolaires, soins médicaux, appui alimentaire, enregistrement a l’etat civil, hébergement temporaire etc.)",Language.FRENCH
180,"# groupes de solidarités développés et fonctionnels (communes Cankuzo et Mishiha) qui fournissent des services de protection aux enfants en mobilité, rapatriés ou survivants de violations graves (VBG, SEA, traite), d'abus et d'exploitation.",Language.FRENCH
181,Existence d’un mécanisme fonctionnel de signalement et référencement des cas d’AES dans la province de Cankuzo,Language.FRENCH
182,Existence des procédures d’enquêtes sur les cas d’AES,Language.FRENCH
183,"# de CPE mis en place/redynamises et fonctionnels pour assurer la prévention, protection et suivi/référencement des enfants victimes d’abus, violences et exploitations dans les 5 communes ciblées et province de Cankuzo (Kigamba, Mishiha, Cankuzo, Cendajuru et Gisagara).",Language.FRENCH
184,"enfants (en mobilité, rapatriés ou survivants de violations graves (VBG, SEA, traite), d'abus et d'exploitation)  ayant bénéficié d’une réponse complémentaire en urgence (dispositifs de prise en charge alternatifs appropriés, réunification familiale, réintégration sociale et économique).",Language.FRENCH
185,de bénéficiaires ayant accès au mécanisme sécurisé et confidentiel de rapportage des cas d’AES,Language.FRENCH
186,"enfants rapatriés, déplacés et autres vulnérables ayant reçu un extrait d’acte de naissance.",Language.FRENCH
187,6.4.3. Nombre de personnes recevant une assistance rapide multisectorielle.,Language.FRENCH
188,"# enfants vulnérables (dont 84,000 filles) qui bénéficient de matériels scolaires pour les cours de rattrapage.",Language.FRENCH
189,# enseignants et autres responsables de l'éducation formes sur les methodes d'organisation des activités ludiques et récréatives,Language.FRENCH
190,"# enfants accédant à l'éducation formelle ou non formelle, y compris l'apprentissage précoce",Language.FRENCH
191,# enseignants et autres responsables de l'éducation orientés sur l’organisation des cours de remédiation/rattrapages,Language.FRENCH
192,# enseignants et autres responsables de l'éducation formés sur l'éducation en situations d'urgence et la réduction des risques,Language.FRENCH
193,# enfants et d’enseignants atteints par les messages de sensibilisation contre le COVID-19 dans les écolés,Language.FRENCH
194,1.2.	Nombre d'enfants en situation de migration qui bénéficient de services de protection dans le cadre des programmes appuyés par l'UNICEF pendant la durée du projet,Language.FRENCH
195,1.3.	Nombre d'enfants migrants soutenus pour une intégration socio-économique,Language.FRENCH
196,de personnes partageant leurs préoccupations grâce aux mécanismes de rétroaction établis,Language.FRENCH
197,"# personnes, des communautés dans les zones affectées et à haut risque connaissent les modes de transmissions du Choléra et de la COVID 19 et s’approprient des mesures préventives communautaires pour arrêter l’épidémie. Valeur de base : 0 ; Cible",Language.FRENCH
198,# personnes des ménages des groupes de solidarité soutenus pour un changement de comportement en matière d’hygiène grâce à la fourniture de bons d’achat pour des fournitures d’hygiène,Language.FRENCH
199,de personnes utilisant des douches construites,Language.FRENCH
200,personnes touchées affectées ou à risque de crise ayant accès à des installations sanitaires adéquates,Language.FRENCH
201,% d'enfants de 0-59 mois  atteints de malnutrition aiguë sévère (MAS) qui bénéficient d'un traitement de qualité par SAM.,Language.FRENCH
202,Nombre d’enfants âgées de 0 à 59 mois atteints de malnutrition aigue sévère qui sont admis en traitement et qui se abadonnent,Language.FRENCH
203,"Nombre de RECO Briefés sur la PCIME, PCIMA et suivi communautaire",Language.FRENCH
204,"3.3.1.2. Nombre de personnes, désagrégées par sexe, touchées grâce à des campagnes de sensibilisation sur les normes sociales concernant le genre, la nutrition et WASH et la division du travail entre les sexes.",Language.FRENCH
205,"3.3.2.5. Nombre d’adolescents filles et garçons formés à la sexualité, au risque de grossesse précoce, aux compétences de vie, à l'hygiène et à la gestion menstruelle",Language.FRENCH
206,2.3.1.2. Nombre d'enfants de 0-59 mois MAS pris en charge,Language.FRENCH
207,2.3.1. Nombre d'enfants âgés de 6 à 59 mois atteints de MAS (Malnutrition Aiguë Sévère) qui sont admis pour traitement,Language.FRENCH
208,2.3.3.2. Nombre de mères/gardiens d'enfants de 0-23 mois conseillés en ANJE en situation d'urgence.,Language.FRENCH
209,"Nombre de personnes formées sur le genre, leadership et mariage précoce.",Language.FRENCH
210,Nombre adolescents formés dans les écoles,Language.FRENCH
211,Nombre adolescents touchés par les émissions radios,Language.FRENCH
212,6.3.4.2.  Nombre d’experts en C4D formés au niveau provincial.,Language.FRENCH
213,"6.3.4.3. Nombre d'acteurs communautaires formés en PFE, CIP et approches participatives (Membres des CAC, Reco…)",Language.FRENCH
214,6.3.4.4. Nombre de journalistes et producteurs des radios formés en PFE et approches participatives,Language.FRENCH
215,5.3.2.1. Nombre de personnes formées sur la protection de l’enfant en urgence et PSEA,Language.FRENCH
216,5.3.2. 2. Nombre de personnes et enfants sensibilisés sur les risques de séparation familiale et risques de protection de l’enfance.,Language.FRENCH
217,5.3.3.9 Nombre de personnes ayant accès à un canal sûr et accessible pour signaler l'exploitation et les abus sexuels,Language.FRENCH
218,"5.3.4.2.  Nombre des officier Policier PNC, DGM et ANR formés sur le plan d’action RDC-ONU.",Language.FRENCH
219,Nombre des enfants souffrant de la malnutrition (MAS) identifiés et orientés vers les Centre de traitement,Language.FRENCH
220,6.3.3.4. Nombre des journalistes (personnels de médias) et producteurs de radios formés sur PFE et approches participatives,Language.FRENCH
221,"6.3.4.3. Nombre d'acteurs communautaires formés en PFE,  CIP et approches participatives (Membres des CAC, Reco…)",Language.FRENCH
222,4.2.2. Nombre d’adolescents filles et garçons en dehors de l’école soutenus pour accéder à l’apprentissage alternatif existants y compris la formation professionnelle.,Language.FRENCH
223,4.2.1.1.1. Nombre des membres des coopératives féminines formés,Language.FRENCH
224,"4.2.2.1. Nombre d'enfants et adolescents particulièrement ceux hors de l'école bénéficiant d'un appui pour l'accès et le maintien à des offres d'éducation formelle et non formelle : désagrégation par genre et profil (enfants au pré-primaire; enfants au primaire, enfants d'âge secondaire).",Language.FRENCH
225,4.3.1. Nombre des filles et des garçons (5 -17 ans) touchés par des crises causés par l’homme ou des catastrophes naturelles et ayant accès à une éducation de qualité.,Language.FRENCH
226,4.3.2. Nombre d’enseignants formés sur les soutiens psychosocial.,Language.FRENCH
227,"4.3.3.1 Nombre d'enseignants dans les zones d'urgences formés à au moins une des thématiques suivantes : méthodologies centrées sur l'apprenant,  l'éducation à la paix, la prévention de la MVE,  la réduction des risques de conflits et de catastrophes.",Language.FRENCH
228,4.3.3.2. Nombre d'enseignants  dans les zones d'urgences formés sur l'appui psychosocial.,Language.FRENCH
